1,Sovg'alar,category/present.jpeg
2,Uy ruzg'ori uchun maxsulotlar,category/home.png
3,Bolalar uchun maxsulotlar,category/kids.png
4,Ayollar uchun maxsulotlar,category/woman.png
5,Davolovchi mahsulotlar,category/medicinal product.jpeg
6,Erkaklar uchun maxsulotlar,category/man.jpeg
7,Fitnes trenajorlar,category/sport.png
8,Davolovchi mazlar,category/medicinal ointment.png
9,Atirlar,category/perfume.jpeg
10,Ko'zoynaklar,category/glasess.jpeg
11,Soatlar,category/watch.jpeg
12,Mashina uchun,category/car.png
13,Kitoblar,category/book.jpeg
14,Yangi yil maxsulotlari,category/new year product.png
15,Elektronika,category/electronics.png
